GTFS Latitude,GTFS Longitude,STATION
40.730953,-73.981628,1 AV
40.79537933,-73.95910367,103 ST
40.749865,-73.8627,103 ST-CORONA
40.6884445,-73.8410065,104 ST
40.79502,-73.94425,110 ST
40.71115967,-73.84128067,111 ST
40.80193733,-73.948708,116 ST
40.807722,-73.96411,116 ST-COLUMBIA
40.700492,-73.828294,121 ST
40.8096455,-73.948451,125 ST
40.8160615,-73.9442095,135 ST
40.822008,-73.953676,137 ST CITY COL
40.813224,-73.929849,138/GRAND CONC
40.73898233,-73.99936667,14 ST
40.7352045,-73.9902595,14 ST-UNION SQ
40.8241345,-73.94375925,145 ST
40.8183925,-73.9270345,149/GRAND CONC
40.660365,-73.979493,15 ST-PROSPECT
40.8303265,-73.9398615,155 ST
40.834041,-73.94489,157 ST
40.8279495,-73.925741,161/YANKEE STAD
40.834654,-73.91992,167 ST
40.840719,-73.939561,168 ST
40.71047,-73.793604,169 ST
40.8396905,-73.9155955,170 ST
40.837288,-73.887734,174 ST
40.8459,-73.910136,174-175 STS
40.847391,-73.939704,175 ST
40.84848,-73.911794,176 ST
40.61946,-73.989707,18 AV
40.74104,-73.997871,18 ST
40.8506,-73.9357825,181 ST
40.856093,-73.900741,182-183 STS
40.858407,-73.903879,183 ST
40.859022,-73.93418,190 ST
40.855225,-73.929412,191 ST
40.723402,-73.989938,2 AV
40.610983,-73.991597,20 AV
40.864621,-73.918822,207 ST
40.744065,-73.949724,21 ST
40.754203,-73.942836,21 ST-QNSBRIDGE
40.869444,-73.915279,215 ST
40.883895,-73.862633,219 ST
40.888022,-73.860341,225 ST
40.7428064,-73.9924924,23 ST
40.878856,-73.904834,231 ST
40.893193,-73.857473,233 ST
40.884667,-73.90087,238 ST
40.597704,-73.986829,25 AV
40.660397,-73.998091,25 ST
40.74525967,-73.98877333,28 ST
40.732849,-73.986122,3 AV
40.810476,-73.926138,3 AV 138 ST
40.816109,-73.917757,3 AV-149 ST
40.745334,-73.9565365,33 ST
40.755882,-74.00191,34 ST-HUDSON YD
40.749643,-73.9878865,34 ST-HERALD SQ
40.75133,-73.992224,34 ST-PENN STA
40.7035915,-73.966165,36 ST
40.752882,-73.932755,39 AV
40.670272,-73.989779,4AV-9 ST
40.743781,-73.924016,40 ST LOWERY ST
40.754222,-73.984569,42 ST-BRYANT PK
40.757308,-73.989735,42 ST-PORT AUTH
40.648939,-74.010006,45 ST
40.749722,-73.915884,46 ST
40.758663,-73.981329,47-50 STS ROCK
40.759901,-73.984139,49 ST
40.753821,-73.981963,5 AVE
40.760167,-73.975224,5 AV/53 ST
40.764811,-73.973347,5 AV/59 ST
40.720148,-73.988208,50 ST
40.757107,-73.97192,51 ST
40.744149,-73.912549,52 ST
40.645069,-74.014034,53 ST
40.631435,-73.995476,55 ST
40.763972,-73.97745,57 ST
40.764664,-73.980658,57 ST-7 AV
40.701944,-73.992924,59 ST
40.7682715,-73.9818325,59 ST COLUMBUS
40.737335,-73.996786,6 AV
40.729846,-73.861604,63 DR-REGO PARK
40.749669,-73.898453,65 ST
40.77344,-73.982209,66 ST-LINCOLN
40.726523,-73.852719,67 AV
40.768141,-73.96387,68ST-HUNTER CO
40.746325,-73.896403,69 ST
40.702061,-73.978103,7 AV
40.619589,-73.998864,71 ST
40.774282,-73.972268,72 ST
40.746848,-73.891394,74 ST-BROADWAY
40.718331,-73.837324,75 AV
40.691324,-73.867139,75 ST-ELDERTS
40.701681,-73.992692,77 ST
40.6987175,-73.9902635,79 ST
40.6874205,-74.0071485,8 AV
40.730328,-73.992629,8 ST-NYU
40.679371,-73.858992,80 ST
40.781433,-73.972143,81 ST-MUSEUM
40.747659,-73.883697,82 ST-JACKSON H
40.692435,-73.86001,85 ST-FOREST PK
40.7245505,-73.976523,86 ST
40.679843,-73.85147,88 ST
40.646292,-73.994324,9 AV
40.670847,-73.988302,9TH STREET
40.748408,-73.876613,90 ST-ELMHURST
40.78888775,-73.95881025,96 ST
40.676992,-73.898654,ALABAMA AV
40.865462,-73.867352,ALLERTON AV
40.668234,-73.834058,AQUEDUCT N.COND
40.672097,-73.835919,AQUEDUCT RACETR
40.730054,-73.99107,ASTOR PL
40.775036,-73.912034,ASTORIA DITMARS
40.770258,-73.917843,ASTORIA BLVD
40.675345,-73.903097,ATLANTIC AV
40.68416167,-73.97778867,ATL AV-BARCLAY
40.62927,-73.961639,AVENUE H
40.625322,-73.976127,AVENUE I
40.625039,-73.960803,AVENUE J
40.617618,-73.959399,AVENUE M
40.61514,-73.974197,AVENUE N
40.608944,-73.973022,AVENUE P
40.597612,-73.96947433,AVENUE U
40.58962,-73.97425,AVENUE X
40.588841,-73.983765,BAY 50 ST
40.61148633,-73.98361333,BAY PKWY
40.616622,-74.030876,BAY RIDGE-95 ST
40.634967,-74.023377,BAY RIDGE AV
40.878663,-73.838591,BAYCHESTER AV
40.583209,-73.827559,BEACH 105 ST
40.600066,-73.761353,BEACH 25 ST
40.595398,-73.768175,BEACH 36 ST
40.592943,-73.776013,BEACH 44 ST
40.592374,-73.788522,BEACH 60 ST
40.590927,-73.796924,BEACH 67 ST
40.588034,-73.813641,BEACH 90 ST
40.585307,-73.820558,BEACH 98 ST
40.689627,-73.953522,BEDFORD-NOSTRAN
40.717304,-73.956872,BEDFORD AV
40.873244,-73.887138,BEDFORD PK BLVD
40.683487,-73.98298,BERGEN ST
40.644031,-73.964492,BEVERLEY ROAD
40.645098,-73.948959,BEVERLY RD
40.725915,-73.994659,BLEECKER ST
40.6928115,-73.9900745,BOROUGH HALL
40.670343,-73.959245,BOTANIC GARDEN
40.72028,-73.993915,BOWERY
40.704817,-74.014065,BOWLING GREEN
40.709179,-73.820574,BRIARWOOD
40.577621,-73.961376,BRIGHTON BEACH
40.608382,-73.815925,BROAD CHANNEL
40.706476,-74.011056,BROAD ST
40.733956,-73.937908,BROADWAY
40.678896,-73.904356,BROADWAY JCT
40.725297,-73.996204,B'WAY-LAFAYETTE
40.848828,-73.868457,BRONX PARK EAST
40.807566,-73.91924,BROOK AV
40.713065,-74.004131,BROOKLYN BRIDGE
40.84681,-73.832569,BUHRE AV
40.871356,-73.867164,BURKE AV
40.853453,-73.907684,BURNSIDE AV
40.682829,-73.905249,BUSHWICK AV
40.71974717,-74.00230433,CANAL ST
40.646654,-73.90185,CANARSIE-ROCKAW
40.680303,-73.995048,CARROLL ST
40.834255,-73.851222,CASTLE HILL AV
40.803967,-73.966847,CATHEDRAL PKWY
40.799075,-73.951822,CENTRAL PK N110
40.71427733,-74.007084,CHAMBERS ST
40.682893,-73.910456,CHAUNCEY ST
40.733422,-74.002906,CHRISTOPHER ST
40.64847033,-73.96407833,CHURCH AV
40.713282,-74.006978,CITY HALL
40.697466,-73.993086,CLARK ST
40.688873,-73.96007,CLASSON AV
40.679947,-73.884639,CLEVELAND ST
40.685676,-73.9663385,CLINTON-WASH AV
40.577422,-73.981233,CONEY IS-STILLW
40.640927,-73.963891,CORTELYOU RD
40.7112515,-74.0116085,CORTLANDT ST
40.747141,-73.945032,COURT SQ
40.683194,-73.873785,CRESCENT ST
40.668897,-73.932942,CROWN HTS-UTICA
40.805368,-73.914042,CYPRESS AV
40.689941,-73.87255,CYPRESS HILLS
40.697223,-73.9501245,DEKALB AV
40.718611,-73.988114,DELANCEY/ESSEX
40.636119,-73.978172,DITMAS AV
40.863011,-73.9264035,DYCKMAN ST
40.650573,-73.899485,EAST 105 ST
40.808719,-73.907657,E 143/ST MARY'S
40.812118,-73.904098,E 149 ST
40.841894,-73.873488,E 180 ST
40.713715,-73.990173,EAST BROADWAY
